ID	LABEL	FNDDS1112	FNDDS1314
FNDDS_11541100	Milk shake, homemade or fountain-type, NS as to flavor	11541100	
FNDDS_11541110	Milk shake, home recipe, chocolate	11541110	11541110
FNDDS_11541120	Milk shake, home recipe, flavors other than chocolate	11541120	11541120
FNDDS_11541130	Milk shake, home recipe, chocolate, light		11541130
FNDDS_11541135	Milk shake, home recipe, flavors other than chocolate, light		11541135
FNDDS_11541400	Milk shake with malt	11541400	11541400
FNDDS_11541500	Milk shake, made with skim milk, chocolate	11541500	
FNDDS_11541510	Milk shake, made with skim milk, flavors other than chocolate	11541510	
FNDDS_11542000	Carry-out milk shake, NS as to flavor	11542000	
FNDDS_11542100	Milk shake, fast food, chocolate	11542100	11542100
FNDDS_11542200	Milk shake, fast food, flavors other than chocolate	11542200	11542200
FNDDS_11543000	Milk shake, bottled, chocolate		11543000
FNDDS_11543010	Milk shake, bottled, flavors other than chocolate		11543010
FNDDS_11551050	Licuado / Batido (milk fruit drink)	11551050	11551050
FNDDS_11553100	Fruit smoothie, NFS	11553100	11553100
FNDDS_11553110	Fruit smoothie, with whole fruit and dairy	11553000	11553110
FNDDS_11553120	Fruit smoothie, with whole fruit and dairy, added protein		11553120
FNDDS_11553130	Fruit smoothie juice drink, with dairy	11552200	11553130
FNDDS_11560000	Yoo-hoo, chocolate milk drink	11560000	11560000
FNDDS_11710000	Infant formula, NFS	11710000	11710000
FNDDS_11710050	Similac Expert Care Alimentum, infant formula, NS as to form	11710050	11710050
FNDDS_11710051	Similac Expert Care Alimentum, infant formula, ready-to-feed	11710051	11710051
FNDDS_11710053	Similac Expert Care Alimentum, infant formula, prepared from powder, made with water, NFS	11710053	11710053
FNDDS_11710054	Similac Expert Care Alimentum, infant formula, prepared from powder, made with tap water	11710054	11710054
FNDDS_11710055	Similac Expert Care Alimentum, infant formula, prepared from powder, made with plain bottled water	11710055	11710055
FNDDS_11710056	Similac Expert Care Alimentum, infant formula, prepared from powder, made with baby water	11710056	11710056
FNDDS_11710350	Similac Advance, infant formula, NS as to form	11710350	11710350
FNDDS_11710351	Similac Advance, infant formula, ready-to-feed	11710351	11710351
FNDDS_11710352	Similac Advance, infant formula, prepared from liquid concentrate, made with water, NFS	11710352	11710352
FNDDS_11710353	Similac Advance, infant formula, prepared from powder, made with water, NFS	11710353	11710353
FNDDS_11710354	Similac Advance, infant formula, prepared from liquid concentrate, made with tap water	11710354	11710354
FNDDS_11710355	Similac Advance, infant formula, prepared from liquid concentrate, made with plain bottled water	11710355	11710355
FNDDS_11710356	Similac Advance, infant formula, prepared from liquid concentrate, made with baby water	11710356	11710356
FNDDS_11710357	Similac Advance, infant formula, prepared from powder, made with tap water	11710357	11710357
FNDDS_11710358	Similac Advance, infant formula, prepared from powder, made with plain bottled water 	11710358	11710358
FNDDS_11710359	Similac Advance, infant formula, prepared from powder, made with baby water	11710359	11710359
FNDDS_11710360	Similac Advance Organic, infant formula, NS as to form	11710360	11710360
FNDDS_11710361	Similac Advance Organic, infant formula, ready-to-feed	11710361	11710361
FNDDS_11710363	Similac Advance Organic, infant formula, prepared from powder, made with water, NFS	11710363	11710363
FNDDS_11710367	Similac Advance Organic, infant formula, prepared from powder, made with tap water	11710367	11710367
FNDDS_11710368	Similac Advance Organic, infant formula, prepared from powder, made with plain bottled water	11710368	11710368
FNDDS_11710369	Similac Advance Organic, infant formula, prepared from powder, made with baby water	11710369	11710369
FNDDS_11710370	Similac Sensitive, infant formula, NS as to form	11710370	11710370
FNDDS_11710371	Similac Sensitive, infant formula, ready-to-feed  	11710371	11710371
FNDDS_11710372	Similac Sensitive, infant formula, prepared from liquid concentrate, made with water, NFS	11710372	11710372
FNDDS_11710373	Similac Sensitive, infant formula, prepared from powder, made with water, NFS	11710373	11710373
FNDDS_11710374	Similac Sensitive, infant formula, prepared from liquid concentrate, made with tap water	11710374	11710374
FNDDS_11710375	Similac Sensitive, infant formula, prepared from liquid concentrate, made with plain bottled water	11710375	11710375
FNDDS_11710376	Similac Sensitive, infant formula, prepared from liquid concentrate, made with baby water	11710376	11710376
FNDDS_11710377	Similac Sensitive, infant formula, prepared from powder, made with tap water	11710377	11710377
FNDDS_11710378	Similac Sensitive, infant formula, prepared from powder, made with plain bottled water	11710378	11710378
FNDDS_11710379	Similac Sensitive, infant formula, prepared from powder, made with baby water	11710379	11710379
FNDDS_11710380	Similac Sensitive for Spit-Up, infant formula, NS as to form	11710380	11710380
FNDDS_11710381	Similac Sensitive for Spit-Up, infant formula, ready-to-feed	11710381	11710381
FNDDS_11710383	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with water, NFS	11710383	11710383
FNDDS_11710387	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with tap water	11710387	11710387
FNDDS_11710388	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with plain bottled water 	11710388	11710388
FNDDS_11710389	Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with baby water	11710389	11710389
FNDDS_11710470	Similac Expert Care NeoSure, infant formula, NS as to form	11710470	11710470
FNDDS_11710471	Similac Expert Care NeoSure, infant formula, ready-to-feed	11710471	11710471
FNDDS_11710473	Similac Expert Care NeoSure, infant formula, prepared from powder, made with water, NFS	11710473	11710473
FNDDS_11710477	Similac Expert Care NeoSure, infant formula, prepared from powder, made with tap water	11710477	11710477
FNDDS_11710478	Similac Expert Care NeoSure, infant formula, prepared from powder, made with plain bottled water	11710478	11710478
FNDDS_11710479	Similac Expert Care NeoSure, infant formula, prepared from powder, made with baby water	11710479	11710479
FNDDS_11710480	Similac Go and Grow, infant formula, NS as to form 	11710480	11710480
FNDDS_11710481	Similac Go and Grow, infant formula, prepared from powder, made with water, NFS	11710481	11710481
FNDDS_11710482	Similac Go and Grow, infant formula, prepared from powder, made with tap water	11710482	11710482
FNDDS_11710483	Similac Go and Grow, infant formula, prepared from powder, made with plain bottled water	11710483	11710483
FNDDS_11710484	Similac Go and Grow, infant formula, prepared from powder, made with baby water	11710484	11710484
FNDDS_11710620	Enfamil PREMIUM Newborn, infant formula, NS as to form	11710620	11710620
FNDDS_11710621	Enfamil PREMIUM Newborn, infant formula, ready-to-feed	11710621	11710621
FNDDS_11710626	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with water, NFS	11710626	11710626
