ID	LABEL	SR26	SR27	SR28
SR_1260	Cheese, cheddar, reduced fat	1260	1260	1260
SR_1261	Yogurt, Greek, CHOBANI CHAMPIONS, VERY BERRY	1261		
SR_1263	Ice cream, light, soft serve, chocolate	1263	1263	1263
SR_1264	Ice cream bar, stick or nugget, with crunch coating	1264	1264	1264
SR_1265	Cheese, cheddar, nonfat or fat free	1265	1265	1265
SR_1266	Cheese, Swiss, nonfat or fat free	1266	1266	1266
SR_1267	Cheese, mexican, queso cotija	1267	1267	1267
SR_1270	Cheese, cheddar, sharp, sliced		1270	1270
SR_1271	Cheese, mozzarella, low moisture, part-skim, shredded		1271	1271
SR_1275	Yogurt, Greek, nonfat, vanilla, CHOBANI		1275	1275
SR_1276	Yogurt, Greek, strawberry, DANNON OIKOS		1276	1276
SR_1278	Yogurt, Greek, nonfat, vanilla, DANNON OIKOS		1278	1278
SR_1280	Yogurt, Greek, nonfat, strawberry, DANNON OIKOS		1280	1280
SR_1281	Yogurt, Greek, nonfat, strawberry, CHOBANI		1281	1281
SR_1284	Yogurt, Greek, strawberry, lowfat			1284
SR_1285	Yogurt, Greek, strawberry, nonfat			1285
SR_1286	Yogurt, Greek, vanilla, nonfat			1286
SR_1287	Yogurt, Greek, plain, lowfat			1287
SR_1289	Kefir, lowfat, plain, LIFEWAY			1289
SR_1290	Kefir, lowfat, strawberry, LIFEWAY			1290
SR_1291	Milk, evaporated, 2% fat, with added vitamin A and vitamin D			1291
SR_1292	Milk, chocolate, fat free, with added vitamin A and vitamin D			1292
SR_1293	Yogurt, Greek, plain, whole milk			1293
SR_1294	Yogurt, Greek, fruit, whole milk			1294
SR_1295	Yogurt, vanilla, non-fat			1295
SR_1297	Yogurt, Greek, vanilla, lowfat			1297
SR_1298	Yogurt, frozen, flavors other than chocolate, lowfat			1298
SR_1300	Ice cream bar, covered with chocolate and nuts			1300
SR_1301	Ice cream sundae cone			1301
SR_1302	Light ice cream, Creamsicle			1302
SR_1303	Cream, half and half, lowfat			1303
SR_1305	Milk, chocolate, lowfat, reduced sugar			1305
SR_1306	Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce			1306
SR_2001	Spices, allspice, ground	2001	2001	2001
SR_2002	Spices, anise seed	2002	2002	2002
SR_2003	Spices, basil, dried	2003	2003	2003
SR_2004	Spices, bay leaf	2004	2004	2004
SR_2005	Spices, caraway seed	2005	2005	2005
SR_2006	Spices, cardamom	2006	2006	2006
SR_2007	Spices, celery seed	2007	2007	2007
SR_2008	Spices, chervil, dried	2008	2008	2008
SR_2009	Spices, chili powder	2009	2009	2009
SR_2010	Spices, cinnamon, ground	2010	2010	2010
SR_2011	Spices, cloves, ground	2011	2011	2011
SR_2012	Spices, coriander leaf, dried	2012	2012	2012
SR_2013	Spices, coriander seed	2013	2013	2013
SR_2014	Spices, cumin seed	2014	2014	2014
SR_2015	Spices, curry powder	2015	2015	2015
SR_2016	Spices, dill seed	2016	2016	2016
SR_2017	Spices, dill weed, dried	2017	2017	2017
SR_2018	Spices, fennel seed	2018	2018	2018
SR_2019	Spices, fenugreek seed	2019	2019	2019
SR_2020	Spices, garlic powder	2020	2020	2020
SR_2021	Spices, ginger, ground	2021	2021	2021
SR_2022	Spices, mace, ground	2022	2022	2022
SR_2023	Spices, marjoram, dried	2023	2023	2023
SR_2024	Spices, mustard seed, ground	2024	2024	2024
SR_2025	Spices, nutmeg, ground	2025	2025	2025
SR_2026	Spices, onion powder	2026	2026	2026
SR_2027	Spices, oregano, dried	2027	2027	2027
SR_2028	Spices, paprika	2028	2028	2028
SR_2029	Spices, parsley, dried	2029	2029	2029
SR_2030	Spices, pepper, black	2030	2030	2030
SR_2031	Spices, pepper, red or cayenne	2031	2031	2031
SR_2032	Spices, pepper, white	2032	2032	2032
SR_2033	Spices, poppy seed	2033	2033	2033
SR_2034	Spices, poultry seasoning	2034	2034	2034
SR_2035	Spices, pumpkin pie spice	2035	2035	2035
SR_2036	Spices, rosemary, dried	2036	2036	2036
SR_2037	Spices, saffron	2037	2037	2037
SR_2038	Spices, sage, ground	2038	2038	2038
SR_2039	Spices, savory, ground	2039	2039	2039
SR_2041	Spices, tarragon, dried	2041	2041	2041
SR_2042	Spices, thyme, dried	2042	2042	2042
SR_2043	Spices, turmeric, ground	2043	2043	2043
SR_2044	Basil, fresh	2044	2044	2044
SR_2045	Dill weed, fresh	2045	2045	2045
SR_2046	Mustard, prepared, yellow	2046	2046	2046
SR_2047	Salt, table	2047	2047	2047
SR_2048	Vinegar, cider	2048	2048	2048
SR_2049	Thyme, fresh	2049	2049	2049
SR_2050	Vanilla extract	2050	2050	2050
SR_2051	Vanilla extract, imitation, alcohol	2051	2051	2051
SR_2052	Vanilla extract, imitation, no alcohol	2052	2052	2052
SR_2053	Vinegar, distilled	2053	2053	2053
SR_2054	Capers, canned	2054	2054	2054
SR_2055	Horseradish, prepared	2055	2055	2055
SR_2063	Rosemary, fresh	2063	2063	2063
SR_2064	Peppermint, fresh	2064	2064	2064
SR_2065	Spearmint, fresh	2065	2065	2065
SR_2066	Spearmint, dried	2066	2066	2066
SR_2068	Vinegar, red wine	2068	2068	2068
SR_2069	Vinegar, balsamic	2069	2069	2069
SR_2073	PACE, Dry Taco Seasoning Mix	2073	2073	2073
SR_2074	Seasoning mix, dry, sazon, coriander & annatto	2074	2074	2074
SR_2075	Seasoning mix, dry, taco, original	2075	2075	2075
SR_2076	Seasoning mix, dry, chili, original	2076	2076	2076
SR_3000	Clif Z bar			3000
SR_3001	Babyfood, juice treats, fruit medley, toddler	3001	3001	3001
SR_3002	Babyfood, meat, beef, strained	3002	3002	3002
SR_3003	Babyfood, meat, beef, junior	3003	3003	3003
SR_3005	Babyfood, meat, veal, strained	3005	3005	3005
SR_3007	Babyfood, meat, pork, strained	3007	3007	3007
SR_3008	Babyfood, meat, ham, strained	3008	3008	3008
SR_3009	Babyfood, meat, ham, junior	3009	3009	3009
SR_3010	Babyfood, meat, lamb, strained	3010	3010	3010
SR_3011	Babyfood, meat, lamb, junior	3011	3011	3011
SR_3012	Babyfood, meat, chicken, strained	3012	3012	3012
SR_3013	Babyfood, meat, chicken, junior	3013	3013	3013
SR_3014	Babyfood, meat, chicken sticks, junior	3014	3014	3014
SR_3015	Babyfood, meat, turkey, strained	3015	3015	3015
SR_3016	Babyfood, meat, turkey, junior	3016	3016	3016
SR_3017	Babyfood, meat, turkey sticks, junior	3017	3017	3017
SR_3019	Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars	3019	3019	3019
SR_3021	Babyfood, meat, meat sticks, junior	3021	3021	3021
SR_3022	Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic			3022
SR_3023	Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon			3023
SR_3024	Babyfoods, water, bottled, GERBER, without added fluoride.			3024
SR_3025	Babyfood, GERBER, 3rd Foods, apple, mango and kiwi			3025
SR_3026	Babyfood, tropical fruit medley			3026
SR_3041	Babyfood, dinner, vegetables and dumplings and beef, strained	3041	3041	3041
SR_3042	Babyfood, dinner, vegetables and dumplings and beef, junior	3042	3042	3042
SR_3043	Babyfood, dinner, beef lasagna, toddler	3043	3043	3043
SR_3044	Babyfood, dinner, macaroni and tomato and beef, strained	3044	3044	3044
SR_3045	Babyfood, dinner, macaroni and tomato and beef, junior	3045	3045	3045
SR_3046	Babyfood, ravioli, cheese filled, with tomato sauce	3046	3046	3046
SR_3047	Babyfood, dinner, beef noodle, strained	3047	3047	3047
SR_3048	Babyfood, macaroni and cheese, toddler	3048	3048	3048
SR_3049	Babyfood, dinner, beef and rice, toddler	3049	3049	3049
SR_3050	Babyfood, dinner, spaghetti and tomato and meat, junior	3050	3050	3050
SR_3051	Babyfood, dinner, spaghetti and tomato and meat, toddler	3051	3051	3051
SR_3052	Babyfood, dinner, beef stew, toddler	3052	3052	3052
SR_3053	Babyfood, dinner, vegetables and beef, strained	3053	3053	3053
SR_3054	Babyfood, dinner, vegetables and beef, junior	3054	3054	3054
SR_3055	Babyfood, dinner, beef with vegetables	3055	3055	3055
SR_3059	Babyfood, dinner, vegetables and bacon, strained	3059	3059	3059
SR_3061	Babyfood, dinner, vegetables and ham, strained	3061	3061	3061
SR_3062	Babyfood, dinner, vegetables and ham, junior	3062	3062	3062
SR_3066	Babyfood, dinner, vegetables and lamb, strained	3066	3066	3066
SR_3067	Babyfood, dinner, vegetables and lamb, junior	3067	3067	3067
SR_3068	Babyfood, dinner, chicken noodle, strained	3068	3068	3068
SR_3069	Babyfood, dinner, chicken noodle, junior	3069	3069	3069
SR_3070	Babyfood, dinner, chicken soup, strained	3070	3070	3070
SR_3072	Babyfood, dinner, chicken stew, toddler	3072	3072	3072
SR_3073	Babyfood, dinner, vegetables chicken, strained	3073	3073	3073
SR_3075	Babyfood, dinner, vegetables, noodles and chicken, strained	3075	3075	3075
SR_3076	Babyfood, dinner, vegetables, noodles and chicken, junior	3076	3076	3076
SR_3077	Babyfood, dinner, pasta with vegetables	3077	3077	3077
SR_3079	Babyfood, dinner, vegetables and noodles and turkey, strained	3079	3079	3079
SR_3081	Babyfood, dinner, vegetables and noodles and turkey, junior	3081	3081	3081
SR_3082	Babyfood, dinner, turkey and rice, strained	3082	3082	3082
SR_3083	Babyfood, dinner, turkey and rice, junior	3083	3083	3083
SR_3084	Babyfood, dinner, vegetables and turkey, strained	3084	3084	3084
SR_3085	Babyfood, dinner, vegetables and turkey, junior	3085	3085	3085
SR_3089	Babyfood, dinner, macaroni and cheese, strained	3089	3089	3089
SR_3090	Babyfood, dinner, macaroni and cheese, junior	3090	3090	3090
SR_3091	Babyfood, vegetables, green beans, strained	3091	3091	3091
SR_3092	Babyfood, vegetables, green beans, junior	3092	3092	3092
SR_3093	Babyfood, green beans, dices, toddler	3093	3093	3093
SR_3096	Babyfood, vegetable, green beans and potatoes	3096	3096	3096
SR_3098	Babyfood, vegetables, beets, strained	3098	3098	3098
SR_3099	Babyfood, vegetables, carrots, strained	3099	3099	3099
SR_3100	Babyfood, vegetables, carrots, junior	3100	3100	3100
SR_3104	Babyfood, vegetables, squash, strained	3104	3104	3104
SR_3105	Babyfood, vegetables, squash, junior	3105	3105	3105
SR_3108	Babyfood, vegetables, sweet potatoes strained	3108	3108	3108
SR_3109	Babyfood, vegetables, sweet potatoes, junior	3109	3109	3109
SR_3112	Babyfood, potatoes, toddler	3112	3112	3112
SR_3114	Babyfood, vegetable, butternut squash and corn	3114	3114	3114
SR_3115	Babyfood, apples, dices, toddler	3115	3115	3115
SR_3116	Babyfood, fruit, applesauce, strained	3116	3116	3116
SR_3117	Babyfood, fruit, applesauce, junior	3117	3117	3117
SR_3118	Babyfood, fruit, apricot with tapioca, strained	3118	3118	3118
SR_3119	Babyfood, vegetables, corn, creamed, strained	3119	3119	3119
SR_3120	Babyfood, vegetables, corn, creamed, junior	3120	3120	3120
SR_3121	Babyfood, vegetables, peas, strained	3121	3121	3121
SR_3122	Babyfood, peas, dices, toddler	3122	3122	3122
SR_3127	Babyfood, vegetables, spinach, creamed, strained	3127	3127	3127
SR_3128	Babyfood, fruit, apricot with tapioca, junior	3128	3128	3128
SR_3129	Babyfood, fruit, bananas with tapioca, strained	3129	3129	3129
SR_3130	Babyfood, fruit, peaches, strained	3130	3130	3130
SR_3131	Babyfood, fruit, peaches, junior	3131	3131	3131
SR_3132	Babyfood, fruit, pears, strained	3132	3132	3132
SR_3133	Babyfood, fruit, pears, junior	3133	3133	3133
SR_3134	Babyfood, fruit, plums with tapioca, without ascorbic acid, strained	3134	3134	3134
SR_3135	Babyfood, fruit, plums with tapioca, without ascorbic acid, junior	3135	3135	3135
